artist_name,artist_id,album_id,album_type,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode,artist,tom
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.218,0.215,5,-12.49,1,0.0368,0.967,0.0847,0.0948,0.138,76.74,3RIgHHpnFKj5Rni1shokDj,https://api.spotify.com/v1/audio-analysis/3RIgHHpnFKj5Rni1shokDj,1,1,248934,TRUE,https://api.spotify.com/v1/tracks/3RIgHHpnFKj5Rni1shokDj,FALSE,Norman fucking Rockwell,NA,1,track,spotify:track:3RIgHHpnFKj5Rni1shokDj,https://open.spotify.com/track/3RIgHHpnFKj5Rni1shokDj,Norman Fucking Rockwell!,F,major,F major,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.545,0.26,9,-12.668,1,0.0289,0.788,9.9e-4,0.105,0.185,75.962,6OG05bPAwUuV3OMvy2Vy1P,https://api.spotify.com/v1/audio-analysis/6OG05bPAwUuV3OMvy2Vy1P,4,1,247150,TRUE,https://api.spotify.com/v1/tracks/6OG05bPAwUuV3OMvy2Vy1P,FALSE,Mariners Apartment Complex,NA,2,track,spotify:track:6OG05bPAwUuV3OMvy2Vy1P,https://open.spotify.com/track/6OG05bPAwUuV3OMvy2Vy1P,Norman Fucking Rockwell!,A,major,A major,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.404,0.298,9,-12.986,0,0.0304,0.912,0.228,0.0996,0.315,78.815,3hwQhakFwm9soLEBnSDH17,https://api.spotify.com/v1/audio-analysis/3hwQhakFwm9soLEBnSDH17,4,1,577199,TRUE,https://api.spotify.com/v1/tracks/3hwQhakFwm9soLEBnSDH17,FALSE,Venice Bitch,NA,3,track,spotify:track:3hwQhakFwm9soLEBnSDH17,https://open.spotify.com/track/3hwQhakFwm9soLEBnSDH17,Norman Fucking Rockwell!,A,minor,A minor,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.532,0.452,9,-10.654,0,0.043,0.892,0.00113,0.127,0.203,129.895,7MtVPRGtZl6rPjMfLoI3Lh,https://api.spotify.com/v1/audio-analysis/7MtVPRGtZl6rPjMfLoI3Lh,4,1,218287,TRUE,https://api.spotify.com/v1/tracks/7MtVPRGtZl6rPjMfLoI3Lh,FALSE,Fuck it I love you,NA,4,track,spotify:track:7MtVPRGtZl6rPjMfLoI3Lh,https://open.spotify.com/track/7MtVPRGtZl6rPjMfLoI3Lh,Norman Fucking Rockwell!,A,minor,A minor,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.649,0.538,7,-11.196,0,0.0519,0.372,0.00632,0.0951,0.496,144.979,0Oqc0kKFsQ6MhFOLBNZIGX,https://api.spotify.com/v1/audio-analysis/0Oqc0kKFsQ6MhFOLBNZIGX,4,1,202192,TRUE,https://api.spotify.com/v1/tracks/0Oqc0kKFsQ6MhFOLBNZIGX,FALSE,Doin' Time,NA,5,track,spotify:track:0Oqc0kKFsQ6MhFOLBNZIGX,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX,Norman Fucking Rockwell!,G,minor,G minor,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.374,0.0694,9,-16.529,1,0.0392,0.965,3.68e-4,0.0807,0.241,134.238,5tyMJlMqaggzvuX7TtlrTe,https://api.spotify.com/v1/audio-analysis/5tyMJlMqaggzvuX7TtlrTe,4,1,229325,FALSE,https://api.spotify.com/v1/tracks/5tyMJlMqaggzvuX7TtlrTe,FALSE,Love song,NA,6,track,spotify:track:5tyMJlMqaggzvuX7TtlrTe,https://open.spotify.com/track/5tyMJlMqaggzvuX7TtlrTe,Norman Fucking Rockwell!,A,major,A major,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.292,0.334,6,-10.679,0,0.0378,0.839,0.345,0.151,0.148,67.836,2mdEsXPu8ZmkHRRtAdC09e,https://api.spotify.com/v1/audio-analysis/2mdEsXPu8ZmkHRRtAdC09e,4,1,300683,FALSE,https://api.spotify.com/v1/tracks/2mdEsXPu8ZmkHRRtAdC09e,FALSE,Cinnamon Girl,NA,7,track,spotify:track:2mdEsXPu8ZmkHRRtAdC09e,https://open.spotify.com/track/2mdEsXPu8ZmkHRRtAdC09e,Norman Fucking Rockwell!,F#,minor,F# minor,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.326,0.303,9,-11.802,1,0.047,0.565,6.55e-4,0.161,0.0677,78.888,4qUtC2BwFC154Ha8YQRrkk,https://api.spotify.com/v1/audio-analysis/4qUtC2BwFC154Ha8YQRrkk,3,1,228071,FALSE,https://api.spotify.com/v1/tracks/4qUtC2BwFC154Ha8YQRrkk,FALSE,How to disappear,NA,8,track,spotify:track:4qUtC2BwFC154Ha8YQRrkk,https://open.spotify.com/track/4qUtC2BwFC154Ha8YQRrkk,Norman Fucking Rockwell!,A,major,A major,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.439,0.412,9,-8.096,0,0.0327,0.793,0,0.0469,0.179,122.933,7oTE1KmtU2ml9zBhv9Reao,https://api.spotify.com/v1/audio-analysis/7oTE1KmtU2ml9zBhv9Reao,4,1,305899,FALSE,https://api.spotify.com/v1/tracks/7oTE1KmtU2ml9zBhv9Reao,FALSE,California,NA,9,track,spotify:track:7oTE1KmtU2ml9zBhv9Reao,https://open.spotify.com/track/7oTE1KmtU2ml9zBhv9Reao,Norman Fucking Rockwell!,A,minor,A minor,Lana Del Rey,7
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,5XpEKORZ4y6OrCZSKsi46A,album,2019-08-30,2019,day,0.387,0.352,2,-9.77,1,0.0353,0.624,3.81e-5,0.112,0.113,107.892,7vRfxLcDDwgYW2WTrtEgUV,https://api.spotify.com/v1/audio-analysis/7vRfxLcDDwgYW2WTrtEgUV,4,1,349347,FALSE,https://api.spotify.com/v1/tracks/7vRfxLcDDwgYW2WTrtEgUV,FALSE,The Next Best American Record,NA,10,track,spotify:track:7vRfxLcDDwgYW2WTrtEgUV,https://open.spotify.com/track/7vRfxLcDDwgYW2WTrtEgUV,Norman Fucking Rockwell!,D,major,D major,Lana Del Rey,7
